Customer_ID,Region,Customer_Segment,Product_Line,Connectivity_Type,Deployment_Environment,Monitoring_Platform,Connected_Devices,Daily_Data_Usage_GB,Monthly_Incidents,Avg_Incident_Response_Hours,Firmware_Update_Frequency_Months,Uptime_Percentage,Downtime_Hours_Monthly,Support_Tickets_Opened,Customer_Satisfaction_Score,Training_Completed,Operational_Risk_Level
199b7ac0-311f-46ce-98ce-9654e588df25,Middle East & Africa,Utilities,Edge Gateway,4G LTE,Outdoor,Custom Platform,2817,68.7,6,4.36,2,95.71,4.88,2,1,0,Low
4bf49028-ffee-461c-a149-01dea347dd2d,Asia Pacific,Oil & Gas,Rugged Router,Ethernet,Mobile,Meraki,1231,18.69,2,0.59,5,98.69,6.05,1,5,1,High
ca43745d-5e17-4a59-88a2-eca993b6e96d,Europe,Manufacturing,IoT Controller,5G,Indoor,Custom Platform,3234,46.41,2,2.28,3,92.58,2.8,2,5,0,Low
6368e390-f6cd-47b8-9544-3a1a1af3bbc0,Asia Pacific,Oil & Gas,Rugged Router,5G,Outdoor,Custom Platform,3423,43.31,3,0.46,5,90.59,0.77,4,4,1,Medium
948692f4-a16f-4ca5-8fbf-c13c573c2bd6,Middle East & Africa,Smart Cities,Industrial Switch,5G,Hybrid,Meraki,1093,43.27,1,2.17,10,91.12,4.31,2,5,0,Medium
e97a0b6b-ed46-41a0-b93e-5ea55fd6f1e5,Middle East & Africa,Oil & Gas,Edge Gateway,4G LTE,Mobile,IoT Ops Dashboard,3645,58.38,1,3.48,8,90.66,3.14,1,1,0,Medium
9418e1aa-f47a-42a6-a385-cd2371905436,Middle East & Africa,Transportation,Rugged Router,Wi-Fi,Hybrid,Custom Platform,1718,35.35,3,4.77,10,96.44,2.29,2,4,0,Low
a9433015-9087-4745-b797-3ed0c73e27a9,Europe,Manufacturing,Rugged Router,Ethernet,Mobile,Meraki,3095,40.58,1,2.06,9,90.63,4.72,3,3,0,High
03cd90bf-5b67-4f92-9582-24ebf5ad7e27,North America,Utilities,Rugged Router,4G LTE,Outdoor,Meraki,86,56.8,1,2.36,8,97.94,3.9,2,1,1,High
9fd64be2-d355-42ac-a275-6616b7bf519b,Latin America,Oil & Gas,IoT Controller,4G LTE,Hybrid,Meraki,3493,64.12,1,3.03,3,94.85,1.08,4,1,1,Low
2d7819f3-181a-4a95-806a-91ce72363d45,Europe,Manufacturing,IoT Controller,Ethernet,Mobile,Meraki,1855,65.67,2,1.72,4,91.31,1.39,2,2,1,Low
016965d3-c8a4-46b1-9608-238c35dbe435,Asia Pacific,Transportation,Rugged Router,Ethernet,Outdoor,Custom Platform,1931,44.52,2,3.36,1,93.93,5.14,3,5,0,High
a1da625e-5aa1-4073-b0d1-bd66c6384f13,North America,Smart Cities,IoT Controller,Ethernet,Indoor,IoT Ops Dashboard,1821,42.49,1,4.0,2,94.12,1.57,0,3,1,High
982bf35d-34d0-41ff-bcfd-a13799a0f490,Asia Pacific,Manufacturing,Rugged Router,4G LTE,Hybrid,Meraki,3458,26.76,1,0.63,2,95.95,1.25,3,3,1,High
b75b60ba-73ae-4583-af5c-e1b357aa112a,North America,Smart Cities,Edge Gateway,5G,Hybrid,IoT Ops Dashboard,1624,76.21,5,3.36,4,92.81,2.74,2,2,1,Medium
2742fbb1-eeeb-42bc-be35-a956ee500d62,Middle East & Africa,Oil & Gas,IoT Controller,4G LTE,Outdoor,IoT Ops Dashboard,2166,25.04,3,2.52,2,98.32,1.22,6,2,0,Low
c1902ae1-9a16-4be6-ab97-a412a8f6b3ae,Middle East & Africa,Transportation,Industrial Switch,5G,Hybrid,Custom Platform,2155,43.37,0,2.85,8,90.85,1.68,4,4,0,Low
29df7150-6b54-43a5-a06f-8f453c4f6a94,Asia Pacific,Oil & Gas,IoT Controller,5G,Mobile,Custom Platform,1374,13.2,2,1.76,4,99.77,7.19,1,1,0,High
cb96ee8f-3c57-417a-b952-e6dc33a958fc,Middle East & Africa,Utilities,Rugged Router,5G,Hybrid,Custom Platform,606,55.53,1,2.2,11,95.55,3.97,0,3,0,Medium
b6c8edf6-03e2-4f00-984a-6ecf44ef04bd,Middle East & Africa,Oil & Gas,Edge Gateway,5G,Hybrid,Custom Platform,3501,14.63,1,2.25,4,99.54,4.18,3,3,1,Low
fe3c1c70-0bf2-4cbe-bcd6-4d4352ab0189,Asia Pacific,Smart Cities,Rugged Router,Wi-Fi,Hybrid,IoT Ops Dashboard,4361,48.92,3,3.37,11,94.48,3.76,5,4,1,High
9668981f-1c6b-4d97-aa09-a7acc4afda1d,Latin America,Manufacturing,Edge Gateway,5G,Outdoor,IoT Ops Dashboard,3176,64.47,3,2.16,1,96.82,1.65,4,4,1,High
227fd7a4-0402-445e-90e3-d860725386a5,North America,Manufacturing,Rugged Router,Wi-Fi,Mobile,Meraki,779,31.52,1,3.74,6,98.09,4.19,2,4,1,Low
491c133f-7bee-4f6b-890d-8ba66390088e,Middle East & Africa,Smart Cities,Rugged Router,Wi-Fi,Mobile,IoT Ops Dashboard,500,51.58,0,1.8,9,96.93,2.38,4,4,0,High
2f61543e-932b-444c-8a0c-7e6968e91199,Europe,Smart Cities,Industrial Switch,4G LTE,Hybrid,IoT Ops Dashboard,4778,34.58,0,2.58,6,96.62,5.66,2,3,0,Low
457d8ba3-3490-433a-80a2-e53805e966e0,Europe,Manufacturing,Industrial Switch,Ethernet,Outdoor,Custom Platform,2345,40.1,2,3.24,11,97.49,2.89,5,4,0,Medium
a0f36168-eb49-41c0-993f-709cb0a8309b,Latin America,Manufacturing,Industrial Switch,4G LTE,Outdoor,IoT Ops Dashboard,993,65.83,2,3.12,10,93.32,2.91,3,3,0,High
6f1ad206-a0d3-4ecc-b269-496ca0ca1f94,Latin America,Oil & Gas,Rugged Router,4G LTE,Indoor,IoT Ops Dashboard,2311,26.43,3,2.02,8,91.92,2.19,2,3,1,High
b2df2aa2-6d9e-46a3-a391-acee73428382,Latin America,Transportation,IoT Controller,Ethernet,Indoor,IoT Ops Dashboard,2026,45.46,7,1.85,5,96.74,3.16,6,3,0,Medium
63f8b2dd-6254-43df-9a74-53c2e58b2eec,Europe,Transportation,Industrial Switch,Ethernet,Mobile,Custom Platform,2231,48.27,0,2.77,5,92.9,2.86,2,2,0,Medium
44329fd2-c636-4be5-bdb9-baf349611afd,Asia Pacific,Smart Cities,IoT Controller,Ethernet,Hybrid,Meraki,4741,68.2,1,3.67,3,96.71,2.84,2,5,0,Low
9f8a3556-148c-471d-8a68-000ece723c31,Latin America,Utilities,Rugged Router,Wi-Fi,Hybrid,Meraki,2586,53.12,3,1.69,8,91.38,1.94,1,1,1,High
67bce332-b466-4283-bc62-911495d20f44,Asia Pacific,Transportation,Rugged Router,5G,Hybrid,Custom Platform,3685,43.53,2,2.19,8,96.32,3.25,2,2,0,Medium
7b489573-ee0b-424d-9666-7f973334f5a1,Asia Pacific,Manufacturing,Rugged Router,4G LTE,Outdoor,Meraki,4858,75.49,1,3.65,7,90.76,3.29,4,2,1,Low
