Customer_ID,Region,Customer_Type,Product_Line,Deployment_Type,Subscription_Model,Active_Devices,Monthly_Usage_Hours,Support_Tickets_Monthly,Renewal_Probability,Avg_Response_Time_Minutes,Monthly_Cost_USD,Integration_Count,Training_Completed,SLA_Compliance,Customer_Satisfaction_Score,Business_Tier
dfec01ea-08d7-4cf4-a11b-0486e60ff266,North America,Education,Cisco DNA,Hybrid,Recurring License,2252,595.41,6,0.35,14.79,15186.85,8,0,85.77,5,Tier 1
430ab1a7-ae85-445b-85e1-84a52d4aae06,Latin America,Education,Cisco DNA,Hybrid,SaaS,8421,502.27,3,0.37,7.76,14067.78,4,1,97.91,4,Tier 3
44125728-68bc-4d0f-a24e-a036853cb07a,Europe,Education,Cisco DNA,Cloud,SaaS,825,499.9,5,0.81,26.51,18699.2,7,1,89.07,3,Tier 1
7b1032c9-4fe5-4e9f-8d50-185d9e9c50d2,North America,Government,Licensing Platform,On-Premises,Recurring License,5167,388.04,5,0.99,18.64,14198.38,7,0,96.18,4,Tier 3
d41e3ec8-4cf6-4156-8ffb-010ad1c1875f,Asia Pacific,Enterprise,Licensing Platform,Cloud,Usage-Based,9874,386.07,4,0.8,13.15,9607.74,7,0,90.1,4,Tier 2
41808792-230a-49cd-9fc8-f1460b8626ed,North America,SMB,Licensing Platform,Cloud,SaaS,634,450.21,3,0.72,21.59,18986.32,2,1,96.15,2,Tier 2
de6a713d-19f0-422c-8ca4-4c45eb5a8fd1,Europe,SMB,Meraki,Hybrid,Usage-Based,6406,687.09,6,0.81,23.44,19367.2,3,1,95.75,3,Tier 3
5677ce15-032a-4745-b8fc-26c7b20f904f,Asia Pacific,Education,Licensing Platform,Cloud,Usage-Based,1974,418.68,2,0.97,20.36,5894.31,3,0,86.64,2,Tier 1
24b06c32-c446-46c5-9e95-f83576ce72a4,Middle East & Africa,Education,Meraki,Hybrid,SaaS,1762,437.58,3,0.39,21.2,18865.59,2,0,91.85,5,Tier 2
656a90f1-31ce-481b-9513-bc54ac10a7df,North America,Education,Cisco+,Hybrid,SaaS,9389,531.76,4,0.74,15.49,22329.76,3,0,98.92,1,Tier 2
23cf3efa-24a2-412d-afc2-dcdc0563f24f,North America,Government,Meraki,On-Premises,Usage-Based,1734,329.11,4,0.7,23.64,8973.65,1,0,98.29,3,Tier 1
be6a7d29-9256-421c-8b3c-97e29260f915,North America,Education,Meraki,Hybrid,SaaS,749,349.55,6,0.39,13.18,15436.02,1,0,93.75,2,Tier 2
d3b05b52-3f04-4bef-92a9-d303ff86f7e2,Middle East & Africa,Enterprise,Cisco+,On-Premises,SaaS,9116,783.96,3,0.97,29.04,18303.66,4,1,87.31,4,Tier 1
ae738e18-9665-4993-9281-aa75dc872fcd,Latin America,Enterprise,Meraki,On-Premises,SaaS,4712,465.38,3,0.81,23.77,20081.92,2,1,98.44,1,Tier 2
8fc1f8ed-f1bd-46b9-b83e-2e3593a35468,Europe,SMB,Meraki,Hybrid,Usage-Based,3403,332.84,2,0.86,10.24,17494.79,7,1,89.36,1,Tier 2
6bddef98-ab35-416e-9a79-7498483a5b37,Middle East & Africa,Government,Meraki,Hybrid,Usage-Based,5948,575.19,5,0.74,18.4,13412.6,9,1,94.85,4,Tier 1
b633256f-c1c3-40a0-b709-aff10b5dfd7e,Latin America,Government,Licensing Platform,Cloud,Usage-Based,9377,699.17,3,0.77,17.61,20002.68,4,1,97.63,1,Tier 1
b048d7ea-099e-47fb-bed3-fc8ed3372cf7,Middle East & Africa,Healthcare,Licensing Platform,On-Premises,Usage-Based,5205,672.0,6,0.69,14.46,20372.74,1,0,97.15,4,Tier 2
bc2390aa-88ce-40e9-be2c-593f57988608,Asia Pacific,SMB,Licensing Platform,On-Premises,Recurring License,8746,272.31,3,0.83,24.48,14771.15,4,1,93.1,4,Tier 3
2aa38663-1236-46a0-a65c-f0f0a24dae6e,Asia Pacific,Healthcare,Cisco+,Cloud,Recurring License,2505,576.32,0,0.89,22.31,13789.57,7,1,85.15,1,Tier 1
c91f4fd1-2f45-480c-aac3-2b6e85b36bab,Asia Pacific,Healthcare,Licensing Platform,Cloud,Recurring License,3493,502.79,6,0.36,18.19,5932.9,7,0,96.93,1,Tier 2
4dae7f8b-1019-4ac2-82f3-9fcdef544972,Europe,SMB,Cisco DNA,Hybrid,Usage-Based,2201,539.57,2,0.88,25.45,15255.01,8,1,93.42,4,Tier 1
5092f6f7-c1db-4303-a543-8b9896b7d2ac,Latin America,Government,Licensing Platform,Hybrid,SaaS,2708,495.07,3,0.63,19.54,15056.68,7,1,96.3,4,Tier 1
f32e7123-336d-45eb-8c01-a0a2a04e7ed4,North America,Healthcare,Cisco DNA,Hybrid,Recurring License,69,577.0,2,0.66,23.49,15243.93,8,1,98.71,2,Tier 3
976fac58-e05b-4c54-a744-d694c1234393,Latin America,Government,Cisco DNA,On-Premises,Usage-Based,4663,592.33,3,0.6,10.01,11677.43,1,1,91.59,2,Tier 1
c7f5100c-ccf9-43cd-bdbe-ccc3ce27a272,North America,Enterprise,Cisco+,Hybrid,Recurring License,637,514.0,2,0.56,31.39,20299.59,8,1,86.17,5,Tier 2
31f8feec-dee3-4330-87a1-09873b793089,Europe,Education,Cisco+,Hybrid,Usage-Based,6466,519.41,5,0.73,22.54,13308.69,3,1,96.79,2,Tier 2
429c600a-dd6d-49a6-9303-8c783c63a902,North America,Enterprise,Licensing Platform,Hybrid,SaaS,5096,680.5,3,0.71,20.1,14579.67,4,0,85.27,1,Tier 1
9b2f692d-6d40-4abc-98df-68b43feafabd,Middle East & Africa,SMB,Meraki,On-Premises,Usage-Based,6594,463.81,2,0.6,19.03,11386.33,2,0,90.07,2,Tier 2
63b37530-eb59-4ee4-90d1-a921b23c057c,Middle East & Africa,Education,Licensing Platform,Cloud,SaaS,4887,444.29,5,0.57,17.34,12022.35,6,1,90.32,5,Tier 1
4eff3aba-4ebd-4b0f-8f92-b9eb6afa904e,Asia Pacific,Enterprise,Meraki,On-Premises,Recurring License,7113,470.88,2,0.32,18.76,20277.01,5,1,86.86,3,Tier 2
86d1ab15-92d5-4eb3-906e-ce2d1943ffbc,Europe,Education,Cisco+,On-Premises,Recurring License,2977,405.33,3,0.49,20.56,12545.13,4,1,91.87,1,Tier 1
4a8dcc5c-8d99-4306-be5e-c57feb46f581,Middle East & Africa,SMB,Licensing Platform,Hybrid,Usage-Based,7111,266.84,4,0.69,9.27,19682.8,4,1,85.92,3,Tier 2
3ceae035-0247-4c49-84ca-1faa769b6d55,Europe,Education,Cisco+,Hybrid,Recurring License,5904,612.92,2,0.6,19.17,15875.46,3,0,99.81,3,Tier 2
e674db10-0a58-4649-b060-870ff7aea21e,North America,SMB,Cisco DNA,Hybrid,SaaS,3905,248.94,3,0.86,15.78,19619.09,3,0,96.58,3,Tier 3
a6b7b09c-8db4-4e07-b506-f2d323151dc2,Latin America,Healthcare,Licensing Platform,Cloud,Usage-Based,4304,703.31,2,0.98,22.52,15137.65,9,0,98.96,1,Tier 2
3f51c0b4-a279-4640-8d29-fca593c19bd6,Middle East & Africa,Education,Cisco+,On-Premises,Recurring License,413,398.35,2,0.77,19.6,12579.17,7,0,92.03,3,Tier 3
f5049cfb-bb9e-4fef-b91a-1f983f2b073c,Asia Pacific,Enterprise,Cisco DNA,On-Premises,Recurring License,7964,362.83,3,0.96,20.07,11873.07,6,1,93.22,2,Tier 1
7bc00373-3ab3-469e-b205-b06ff189b1a5,Europe,Education,Cisco DNA,On-Premises,Recurring License,925,361.48,2,0.47,18.92,18207.48,6,1,98.77,3,Tier 2
