Plant_ID,Date,Water_Consumption_m3,Steam_Usage_Ton,Power_Usage_MWh,Waste_Treated_m3,Boiler_Temperature_C,Turbine_Efficiency_%,Chiller_Utilization_%,CO2_Emissions_Ton,pH_Level_Water,Conductivity_uS,Cooling_Tower_Efficiency_%,Energy_Cost_USD,Maintenance_Cost_USD,Downtime_Minutes,Alarm_Count,Recycle_Water_Used_m3,External_Water_Use_m3,Ambient_Temperature_C,Humidity_%,Water_Leakage_m3,Efficiency_Index,Operator_ID
PLT004,2023-01-01 00:00:00,461.7,195.26,890.16,274.96,430.74,94.84,66.5,44.8,6.3,550.97,59.33,12735.33,401.2,16,1.0,110.8,322.27,37.32,44.33,3.51,92.87,OP1002
PLT005,2023-01-01 01:00:00,511.37,188.18,1189.51,346.74,432.73,78.63,64.04,48.16,6.88,583.66,81.72,12085.41,619.39,95,8.0,91.72,462.77,41.27,49.59,7.25,101.82,OP1001
PLT003,2023-01-01 02:00:00,426.28,184.24,797.66,342.83,439.4,78.17,61.09,58.79,6.96,423.31,67.3,13164.54,641.29,22,0.0,97.75,344.96,39.98,44.83,6.57,85.62,OP1004
PLT005,2023-01-01 03:00:00,481.78,193.55,789.61,290.55,445.51,92.98,80.32,52.72,7.14,356.66,63.59,10956.83,395.4,80,3.0,101.26,389.99,30.39,49.65,4.87,92.91,OP1004
PLT005,2023-01-01 04:00:00,501.4,180.24,957.4,302.3,405.11,86.83,74.9,59.18,7.36,559.62,62.96,13286.45,549.32,62,6.0,69.01,454.42,42.4,49.67,6.95,89.59,OP1003
PLT002,2023-01-01 05:00:00,415.75,209.39,1101.56,332.0,444.72,86.73,82.17,36.97,6.9,519.96,53.86,11487.54,519.61,77,5.0,87.27,307.59,44.68,24.99,2.3,95.13,OP1001
PLT003,2023-01-01 06:00:00,529.66,220.47,1217.56,335.77,455.57,76.52,102.87,56.23,7.09,180.19,66.15,11527.34,548.71,63,9.0,92.9,366.89,32.68,48.6,3.87,102.43,OP1001
PLT003,2023-01-01 07:00:00,538.01,169.51,1098.75,233.15,456.5,77.33,63.4,48.88,7.05,512.28,78.92,12446.42,513.95,75,9.0,121.02,393.88,35.29,16.61,8.76,81.43,OP1002
PLT003,2023-01-01 08:00:00,550.56,200.19,1014.5,309.77,468.9,85.83,82.02,31.47,7.17,476.46,65.04,12669.81,449.48,13,2.0,118.3,385.27,33.34,70.66,6.86,93.25,OP1001
PLT005,2023-01-01 09:00:00,616.71,231.12,902.82,345.04,423.5,78.1,78.4,40.3,7.01,350.1,56.13,14808.44,431.98,9,8.0,98.66,403.81,30.86,58.46,5.87,83.12,OP1004
PLT004,2023-01-01 10:00:00,520.84,170.37,923.56,313.15,444.98,89.1,89.15,59.31,7.05,504.6,65.77,11961.4,572.47,115,0.0,113.82,378.33,35.23,43.6,5.62,91.87,OP1001
PLT003,2023-01-01 11:00:00,496.8,229.54,934.04,243.98,480.6,79.36,60.55,72.08,7.13,572.41,57.79,12563.38,291.25,2,0.0,131.85,430.61,22.22,31.51,7.05,92.48,OP1002
PLT005,2023-01-01 12:00:00,419.9,182.8,959.31,365.64,455.82,88.58,55.55,52.06,7.02,578.96,77.61,10076.66,475.73,31,,103.39,353.25,44.65,42.73,7.39,96.81,OP1004
PLT002,2023-01-01 13:00:00,519.6,187.86,974.64,321.11,446.27,83.09,70.98,51.47,6.71,446.55,73.75,12999.04,422.95,14,1.0,110.77,410.36,36.87,31.01,5.26,91.9,OP1004
PLT004,2023-01-01 14:00:00,527.97,212.35,1019.92,256.8,453.2,82.16,73.33,54.53,7.03,573.12,61.43,11263.18,527.14,39,1.0,81.29,448.6,33.96,45.89,6.95,90.04,OP1003
PLT002,2023-01-01 15:00:00,432.2,210.15,941.63,283.76,454.79,77.56,65.63,45.67,7.15,662.75,55.41,12142.92,366.35,84,3.0,77.02,358.41,31.69,39.39,7.07,99.7,OP1001
