Applicant_ID,Age,Income,Employment_Type,Credit_Score,Loan_Amount,Loan_Term,Existing_EMI,Default_History,Loan_Status,Monthly_Income,Estimated_Monthly_Payment,Debt_to_Income_Ratio,Loan_to_Income_Ratio,EMI_Burden_Ratio,Credit_Score_Bin,Age_Group
APP_00001,31,75633.0,Salaried,508.0,66160,12,12.0,No,Non-Default,6302.75,5755.15,0.915,0.8748,0.0019,Poor,26-35
APP_00002,40,12144.0,Unemployed,333.0,65845,84,557.0,No,Non-Default,1012.0,1026.27,1.5645,5.422,0.5504,Very Poor,36-45
APP_00003,45,44955.0,Freelancer,463.0,23758,360,126.0,Yes,Default,3746.25,174.33,0.0802,0.5285,0.0336,Very Poor,36-45
APP_00004,30,59949.0,Self-Employed,432.0,46020,84,245.0,No,Non-Default,4995.75,717.28,0.1926,0.7677,0.049,Very Poor,26-35
APP_00005,45,45450.0,Salaried,478.0,99744,180,1077.0,No,Non-Default,3787.5,953.21,0.536,2.1946,0.2844,Very Poor,36-45
APP_00006,38,71723.0,Salaried,505.0,27888,240,225.0,No,Non-Default,5976.92,233.27,0.0767,0.3888,0.0376,Poor,36-45
APP_00007,48,54417.0,Salaried,527.0,103730,120,394.0,Yes,Non-Default,4534.75,1258.53,0.3644,1.9062,0.0869,Poor,46-55
APP_00008,35,55387.0,Government,567.0,88839,84,46.0,No,Default,4615.58,1384.66,0.31,1.604,0.01,Poor,26-35
APP_00009,41,76337.0,Self-Employed,607.0,20580,12,196.0,No,Non-Default,6361.42,1790.22,0.3122,0.2696,0.0308,Fair,36-45
APP_00010,37,32715.0,Freelancer,532.0,14966,60,76.0,Yes,Non-Default,2726.25,303.46,0.1392,0.4575,0.0279,Poor,36-45
APP_00011,37,45641.0,Salaried,464.0,41454,60,412.0,No,Non-Default,3803.42,840.54,0.3293,0.9083,0.1083,Very Poor,36-45
APP_00012,40,5000.0,Unemployed,452.0,13463,60,307.0,No,Non-Default,416.67,272.98,1.3919,2.6926,0.7368,Very Poor,36-45
APP_00013,43,56241.0,Government,603.0,5000,60,153.0,Yes,Non-Default,4686.75,101.38,0.0543,0.0889,0.0326,Fair,36-45
APP_00014,25,77372.0,Salaried,476.0,24550,240,346.0,No,Non-Default,6447.67,205.35,0.0855,0.3173,0.0537,Very Poor,18-25
APP_00015,52,32127.0,Salaried,557.0,206778,240,83.0,No,Non-Default,2677.25,1729.57,0.677,6.4363,0.031,Poor,46-55
APP_00016,22,64519.0,Salaried,487.0,25394,24,872.0,No,Non-Default,5376.58,1148.5,0.3758,0.3936,0.1622,Very Poor,18-25
APP_00017,31,70622.0,Salaried,560.0,49197,60,18.0,No,Non-Default,5885.17,997.54,0.1726,0.6966,0.0031,Poor,26-35
APP_00018,37,45364.0,Self-Employed,529.0,63576,360,938.0,No,Non-Default,3780.33,466.5,0.3715,1.4015,0.2481,Poor,36-45
APP_00019,42,129774.0,Self-Employed,641.0,35138,84,324.0,No,Non-Default,10814.5,547.67,0.0806,0.2708,0.03,Fair,36-45
APP_00020,53,57285.0,Salaried,637.0,27808,180,880.0,No,Non-Default,4773.75,265.75,0.24,0.4854,0.1843,Fair,46-55
APP_00021,22,76455.0,Self-Employed,539.0,97049,48,687.0,No,Non-Default,6371.25,2369.25,0.4797,1.2694,0.1078,Poor,18-25
APP_00022,32,61774.0,Salaried,450.0,37493,48,425.0,Yes,Non-Default,5147.83,915.31,0.2604,0.6069,0.0826,Very Poor,26-35
APP_00023,22,29584.0,Salaried,503.0,33755,48,232.0,Yes,Non-Default,2465.33,824.06,0.4284,1.141,0.0941,Poor,18-25
APP_00024,38,85175.0,Salaried,558.0,68733,12,547.0,No,Non-Default,7097.92,5978.98,0.9194,0.807,0.0771,Poor,36-45
APP_00025,40,46556.0,Self-Employed,538.0,15936,240,893.0,No,Non-Default,3879.67,133.3,0.2645,0.3423,0.2302,Poor,36-45
APP_00026,53,40742.0,Freelancer,546.0,13220,48,349.0,No,Non-Default,3395.17,322.74,0.1979,0.3245,0.1028,Poor,46-55
APP_00027,39,76953.0,Salaried,553.0,9897,48,267.0,No,Non-Default,6412.75,241.61,0.0793,0.1286,0.0416,Poor,36-45
APP_00028,48,131131.0,Self-Employed,655.0,57205,120,346.0,No,Non-Default,10927.58,694.05,0.0952,0.4362,0.0317,Fair,46-55
APP_00029,43,42202.0,Self-Employed,511.0,31858,60,1132.0,No,Non-Default,3516.83,645.97,0.5056,0.7549,0.3219,Poor,36-45
APP_00030,33,56070.0,Salaried,614.0,70339,48,155.0,No,Non-Default,4672.5,1717.18,0.4007,1.2545,0.0332,Fair,26-35
APP_00031,23,128384.0,Self-Employed,611.0,37825,240,65.0,No,Non-Default,10698.67,316.38,0.0356,0.2946,0.0061,Fair,18-25
